model,capture,batch,mean_output_tokens_s,min_output_tokens_s,max_output_tokens_s,repetitions
google/gemma-4-12B,default,24,900.0262915186485,898.2765959016666,901.5040143438532,3
google/gemma-4-12B,default,31,1086.878509555852,1084.635627756034,1088.944951172669,3
google/gemma-4-12B,default,48,1411.5925728119448,1409.8616559667412,1413.144787258292,3
google/gemma-4-12B,default,63,1686.367271289812,1684.6006123639272,1687.9245098257632,3
google/gemma-4-12B,default,80,1939.569993073963,1937.6190121364573,1940.6820954177272,3
google/gemma-4-12B,default,95,2129.9992105216097,2128.146918323412,2131.768512787358,3
google/gemma-4-12B,default,112,2031.5202953113608,2030.20989169883,2032.4143469553755,3
google/gemma-4-12B,default,127,1913.9905439046722,1911.5834533913776,1917.1280887180064,3
google/gemma-4-12B,matched,24,894.684273464498,893.901880012445,895.8725490267399,3
google/gemma-4-12B,matched,31,1080.4758920597646,1078.778334052524,1082.6561114938784,3
google/gemma-4-12B,matched,48,1408.1950402146817,1407.7937415345289,1408.9219219785564,3
google/gemma-4-12B,matched,63,1683.7839169832544,1683.064617682179,1684.420443522303,3
google/gemma-4-12B,matched,80,1938.5039002110834,1935.5998744137107,1941.325853504934,3
google/gemma-4-12B,matched,95,2131.40369052745,2128.069421782508,2133.863087341691,3
google/gemma-4-12B,matched,112,2029.9613913264238,2029.7195425656612,2030.252336036607,3
google/gemma-4-12B,matched,127,1913.8152544920608,1911.0305630414807,1917.5095382410473,3
google/gemma-4-12B,coarse,24,894.5318166516718,893.5351174366169,895.2280275731922,3
google/gemma-4-12B,coarse,31,1086.356923717195,1085.4712595615,1087.7472731477965,3
google/gemma-4-12B,coarse,48,1398.1514533323113,1397.7332707730964,1398.4177607849138,3
google/gemma-4-12B,coarse,63,1687.2729065954165,1685.264070868139,1688.4972692856243,3
google/gemma-4-12B,coarse,80,1889.7097480137304,1886.9636136180725,1892.2756569078554,3
google/gemma-4-12B,coarse,95,2099.7127762355194,2094.9267908778497,2102.7204679639585,3
google/gemma-4-12B,coarse,112,2021.2597057065561,2019.7719972633356,2022.9826612760223,3
google/gemma-4-12B,coarse,127,1911.3057041375598,1907.9489338094081,1915.2982421410295,3
Qwen/Qwen3.5-9B,default,24,1322.50789232324,1321.0933165864983,1323.9141250408454,3
Qwen/Qwen3.5-9B,default,31,1587.132296790021,1585.6457279592323,1589.3431993309232,3
Qwen/Qwen3.5-9B,default,48,2137.436154641828,2134.239800597027,2139.6651820488796,3
Qwen/Qwen3.5-9B,default,63,2509.9121284936186,2508.705663641542,2510.6852564844144,3
Qwen/Qwen3.5-9B,default,80,2756.9692406874574,2751.9305130132007,2762.470293144234,3
Qwen/Qwen3.5-9B,default,95,2957.513530801043,2952.288296181747,2960.7518520088956,3
Qwen/Qwen3.5-9B,default,112,3193.1113891477153,3186.431037962127,3200.049124374463,3
Qwen/Qwen3.5-9B,default,127,3377.9734064708246,3375.208000836515,3382.667270075746,3
Qwen/Qwen3.5-9B,matched,24,1321.1707648885674,1318.602869234489,1323.2364088404363,3
Qwen/Qwen3.5-9B,matched,31,1590.0535020893772,1588.9532797151767,1591.798092233221,3
Qwen/Qwen3.5-9B,matched,48,2135.4031747988506,2132.7608589102197,2138.6165643148365,3
Qwen/Qwen3.5-9B,matched,63,2511.3271186909183,2508.717745154859,2515.0320320983196,3
Qwen/Qwen3.5-9B,matched,80,2754.923831695322,2750.578511483194,2760.347553193709,3
Qwen/Qwen3.5-9B,matched,95,2958.690166587383,2958.4600656398475,2959.0861398839797,3
Qwen/Qwen3.5-9B,matched,112,3190.4048150006565,3188.9960047224467,3191.561261412839,3
Qwen/Qwen3.5-9B,matched,127,3376.1991709484278,3371.0248374358766,3383.5588517139427,3
Qwen/Qwen3.5-9B,coarse,24,1306.3472445628734,1304.8749514142085,1307.3942773527199,3
Qwen/Qwen3.5-9B,coarse,31,1587.9084350082474,1585.4155557644856,1589.246657864777,3
Qwen/Qwen3.5-9B,coarse,48,2124.1021884714605,2122.721625357253,2125.6359258596003,3
Qwen/Qwen3.5-9B,coarse,63,2511.272852312629,2509.1511549474126,2513.5016025088835,3
Qwen/Qwen3.5-9B,coarse,80,2675.412627113919,2674.2059274498733,2676.7604492847136,3
Qwen/Qwen3.5-9B,coarse,95,2934.0412324068398,2932.19089341386,2935.424049105815,3
Qwen/Qwen3.5-9B,coarse,112,3174.8199222269604,3170.4283341540568,3180.36630533372,3
Qwen/Qwen3.5-9B,coarse,127,3379.578496328158,3375.356200339527,3385.953084891022,3
google/gemma-4-E4B,default,24,1967.0043213528666,1966.5043812319761,1967.8257431577038,3
google/gemma-4-E4B,default,31,2436.2584794148893,2432.673321324012,2439.078833565376,3
google/gemma-4-E4B,default,48,3344.8377205038123,3341.5059328717075,3348.2751148194925,3
