capture,batch,mean_output_tokens_s,min_output_tokens_s,max_output_tokens_s,repeats
default,24,5040.818198017537,5034.0926401314155,5045.444491971335,3
default,31,6239.597220952828,6238.6698375207025,6240.879967307257,3
default,48,9017.996024900187,9007.585171012095,9031.840781532675,3
default,63,10743.351354472346,10727.414553449236,10771.802922930177,3
default,80,12088.661067497296,12055.98482001884,12106.22251727376,3
default,95,14153.6663112406,14148.847079257914,14157.5145795126,3
default,112,15279.372456654744,15269.042055316688,15290.29063091663,3
default,127,16453.324265260882,16420.198220401628,16499.487390169837,3
coarse,24,5050.223912371548,5016.165442335989,5077.45436111972,3
coarse,31,6245.429682648512,6236.22597310999,6255.01470096808,3
coarse,48,8752.189963302042,8741.261712776024,8762.413389508243,3
coarse,63,10737.430780511317,10716.008584393026,10761.252108104096,3
coarse,80,12258.264536675586,12224.934176045339,12282.749630486127,3
coarse,95,13859.055322719076,13833.510733660578,13872.260145302449,3
coarse,112,15154.353683798661,15139.157608884045,15176.348002636703,3
coarse,127,16451.72598791016,16417.70888267167,16499.899986582685,3
matched,24,5039.477869026407,5034.898046904482,5043.099772345135,3
matched,31,6269.13212429787,6262.595484022788,6280.064202866509,3
matched,48,9026.53530559289,9023.142729655458,9032.150874530436,3
matched,63,10735.298119621419,10729.429940578302,10745.75230448562,3
matched,80,12098.720228174796,12062.728663132919,12119.759671587395,3
matched,95,14134.311014070765,14114.512084626977,14165.044431830958,3
matched,112,15261.174297996073,15241.45595489126,15284.472061303151,3
matched,127,16438.47288809538,16415.81803448625,16453.352803995032,3
