-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 execute_context_0(0)_generation_63(63)         0.00%       0.000us         0.00%       0.000us       0.000us     690.904ms        92.91%     690.904ms       5.527ms           125  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us     181.004ms        24.34%     181.004ms      51.305us          3528  
                                               aten::mm         0.12%       6.538ms         0.18%       9.643ms      32.358us     140.525ms        18.90%     140.525ms     471.559us           298  
                        ## Call CompiledFxGraph None ##         0.00%       0.000us         0.00%       0.000us       0.000us     112.498ms        15.13%     112.498ms       1.940ms            58  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us      94.304ms        12.68%      94.304ms      26.730us          3528  
ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us      89.131ms        11.99%      89.131ms     530.540us           168  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      77.768ms        10.46%      77.768ms      21.869us          3556  
             execute_context_30(3714)_generation_33(33)         0.00%       0.000us         0.00%       0.000us       0.000us      58.803ms         7.91%      58.803ms      58.803ms             1  
               execute_context_32(4094)_generation_2(2)         0.00%       0.000us         0.00%       0.000us       0.000us      58.318ms         7.84%      58.318ms      58.318ms             1  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      51.057ms         6.87%      51.057ms     395.788us           129  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_rel...         0.00%       0.000us         0.00%       0.000us       0.000us      42.333ms         5.69%      42.333ms      11.905us          3556  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      36.170ms         4.86%      36.170ms      10.252us          3528  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      24.072ms         3.24%      24.072ms       3.385us          7112  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us      22.392ms         3.01%      22.392ms       6.347us          3528  
                      triton_poi_fused_mul_silu_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us      21.132ms         2.84%      21.132ms       5.805us          3640  
                 execute_context_2(256)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      16.242ms         2.18%      16.242ms      16.242ms             1  
