-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 execute_context_0(0)_generation_63(63)         0.00%       0.000us         0.00%       0.000us       0.000us     693.779ms        92.70%     693.779ms       5.550ms           125  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us     181.501ms        24.25%     181.501ms      51.446us          3528  
                                               aten::mm         0.09%       5.923ms         0.13%       8.458ms      28.382us     143.376ms        19.16%     143.376ms     481.126us           298  
                        ## Call CompiledFxGraph None ##         0.00%       0.000us         0.00%       0.000us       0.000us     115.647ms        15.45%     115.647ms       1.994ms            58  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us      94.548ms        12.63%      94.548ms      26.799us          3528  
ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us      92.001ms        12.29%      92.001ms     547.624us           168  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      78.349ms        10.47%      78.349ms      22.033us          3556  
             execute_context_31(3841)_generation_32(32)         0.00%       0.000us         0.00%       0.000us       0.000us      61.747ms         8.25%      61.747ms      61.747ms             1  
               execute_context_32(4095)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      57.839ms         7.73%      57.839ms      57.839ms             1  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      51.039ms         6.82%      51.039ms     395.654us           129  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_rel...         0.00%       0.000us         0.00%       0.000us       0.000us      42.902ms         5.73%      42.902ms      11.970us          3584  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      36.518ms         4.88%      36.518ms      10.351us          3528  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      24.134ms         3.22%      24.134ms       3.393us          7112  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us      23.022ms         3.08%      23.022ms       6.525us          3528  
                      triton_poi_fused_mul_silu_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us      21.141ms         2.82%      21.141ms       5.808us          3640  
                 execute_context_1(128)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      15.196ms         2.03%      15.196ms      15.196ms             1  
