capture,batch,mean_output_tokens_s,min_output_tokens_s,max_output_tokens_s,repeats
default,24,900.0262915186485,898.2765959016666,901.5040143438532,3
default,31,1086.878509555852,1084.635627756034,1088.944951172669,3
default,48,1411.5925728119448,1409.8616559667412,1413.144787258292,3
default,63,1686.367271289812,1684.6006123639272,1687.9245098257632,3
default,80,1939.569993073963,1937.6190121364573,1940.6820954177272,3
default,95,2129.9992105216097,2128.146918323412,2131.768512787358,3
default,112,2031.5202953113608,2030.20989169883,2032.4143469553755,3
default,127,1913.9905439046722,1911.5834533913776,1917.1280887180064,3
coarse,24,894.5318166516718,893.5351174366169,895.2280275731922,3
coarse,31,1086.356923717195,1085.4712595615,1087.7472731477965,3
coarse,48,1398.1514533323113,1397.7332707730964,1398.4177607849138,3
coarse,63,1687.2729065954165,1685.264070868139,1688.4972692856243,3
coarse,80,1889.7097480137304,1886.9636136180725,1892.2756569078554,3
coarse,95,2099.7127762355194,2094.9267908778497,2102.7204679639585,3
coarse,112,2021.2597057065561,2019.7719972633356,2022.9826612760223,3
coarse,127,1911.3057041375598,1907.9489338094081,1915.2982421410295,3
matched,24,894.684273464498,893.901880012445,895.8725490267399,3
matched,31,1080.4758920597646,1078.778334052524,1082.6561114938784,3
matched,48,1408.1950402146817,1407.7937415345289,1408.9219219785564,3
matched,63,1683.7839169832544,1683.064617682179,1684.420443522303,3
matched,80,1938.5039002110834,1935.5998744137107,1941.325853504934,3
matched,95,2131.40369052745,2128.069421782508,2133.863087341691,3
matched,112,2029.9613913264238,2029.7195425656612,2030.252336036607,3
matched,127,1913.8152544920608,1911.0305630414807,1917.5095382410473,3
