-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 execute_context_0(0)_generation_63(63)         0.00%       0.000us         0.00%       0.000us       0.000us        3.491s        73.36%        3.491s      27.932ms           125  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us        2.740s        57.57%        2.740s     219.414us         12488  
                                               aten::mm         0.04%       9.023ms         0.06%      13.552ms      26.366us        1.026s        21.56%        1.026s       1.996ms           514  
                        ## Call CompiledFxGraph None ##         0.00%       0.000us         0.00%       0.000us       0.000us     892.362ms        18.75%     892.362ms       9.106ms            98  
                               kernel_unified_attention         0.00%       0.000us         0.00%       0.000us       0.000us     563.538ms        11.84%     563.538ms      90.311us          6240  
               execute_context_32(4094)_generation_2(2)         0.00%       0.000us         0.00%       0.000us       0.000us     468.961ms         9.85%     468.961ms     468.961ms             1  
             execute_context_30(3714)_generation_33(33)         0.00%       0.000us         0.00%       0.000us       0.000us     450.693ms         9.47%     450.693ms     450.693ms             1  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us     358.112ms         7.52%     358.112ms      59.212us          6048  
ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us     305.627ms         6.42%     305.627ms       2.122ms           144  
ampere_bf16_s16816gemm_bf16_256x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us     275.186ms         5.78%     275.186ms     223.184us          1233  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     150.607ms         3.16%     150.607ms      29.369us          5128  
                      triton_poi_fused_gelu_mul_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us      66.996ms         1.41%      66.996ms      10.737us          6240  
                                     triton_red_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us      66.151ms         1.39%      66.151ms      10.827us          6110  
                    triton_red_fused_add_mul_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us      60.713ms         1.28%      60.713ms       9.730us          6240  
                        triton_red_fused_add_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us      51.336ms         1.08%      51.336ms       8.227us          6240  
                 execute_context_2(256)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      42.158ms         0.89%      42.158ms      42.158ms             1  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us      39.475ms         0.83%      39.475ms       5.550us          7112  
