-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 execute_context_0(0)_generation_63(63)         0.00%       0.000us         0.00%       0.000us       0.000us        3.505s        73.63%        3.505s      28.039ms           125  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us        2.747s        57.72%        2.747s     219.856us         12496  
                                               aten::mm         0.04%      12.180ms         0.07%      19.016ms      26.935us        1.048s        22.02%        1.048s       1.485ms           706  
                        ## Call CompiledFxGraph None ##         0.00%       0.000us         0.00%       0.000us       0.000us     915.304ms        19.23%     915.304ms       6.227ms           147  
                               kernel_unified_attention         0.00%       0.000us         0.00%       0.000us       0.000us     563.188ms        11.83%     563.188ms      90.254us          6240  
               execute_context_32(4093)_generation_3(3)         0.00%       0.000us         0.00%       0.000us       0.000us     463.028ms         9.73%     463.028ms     463.028ms             1  
             execute_context_29(3587)_generation_34(34)         0.00%       0.000us         0.00%       0.000us       0.000us     433.777ms         9.11%     433.777ms     433.777ms             1  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us     358.332ms         7.53%     358.332ms      59.248us          6048  
ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us     293.445ms         6.17%     293.445ms       2.158ms           136  
ampere_bf16_s16816gemm_bf16_256x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us     275.085ms         5.78%     275.085ms     223.102us          1233  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     148.908ms         3.13%     148.908ms      29.038us          5128  
                                     triton_red_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us      78.664ms         1.65%      78.664ms      12.875us          6110  
                      triton_poi_fused_gelu_mul_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us      66.263ms         1.39%      66.263ms      10.619us          6240  
                 execute_context_3(384)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      65.804ms         1.38%      65.804ms      65.804ms             1  
                    triton_red_fused_add_mul_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us      56.823ms         1.19%      56.823ms       9.106us          6240  
                        triton_red_fused_add_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us      51.238ms         1.08%      51.238ms       8.211us          6240  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us      39.161ms         0.82%      39.161ms       5.506us          7112  
