capture,batch,mean_output_tokens_s,min_output_tokens_s,max_output_tokens_s,repeats
default,24,1967.0043213528666,1966.5043812319761,1967.8257431577038,3
default,31,2436.2584794148893,2432.673321324012,2439.078833565376,3
default,48,3344.8377205038123,3341.5059328717075,3348.2751148194925,3
default,63,3983.4624353970967,3976.8395277749382,3992.8643058184966,3
default,80,4775.490640928915,4771.240551347445,4779.850473221179,3
default,95,5317.520088093175,5311.363101344704,5329.292161518573,3
default,112,5674.003346669018,5664.818309305314,5681.137315458297,3
default,127,6075.754284075289,6064.900473849626,6092.749580590578,3
coarse,24,1964.726974362529,1963.2877485741674,1966.8759408454694,3
coarse,31,2439.4175965907957,2437.8674327339736,2441.4946840284492,3
coarse,48,3294.988752933105,3290.4965154059046,3299.2837337169453,3
coarse,63,3989.2422864732393,3988.1595791876302,3989.8836877537224,3
coarse,80,4595.886111146743,4586.631691231274,4600.647438965667,3
coarse,95,5183.7318481497705,5178.8100062063295,5190.854355877999,3
coarse,112,5614.946928974347,5608.312020038037,5627.299321146321,3
coarse,127,6079.909263155897,6065.1753498357175,6098.484972817751,3
matched,24,1972.4873102304653,1971.7745530975255,1973.066101156471,3
matched,31,2443.823385279774,2440.4460391647867,2446.2303721679696,3
matched,48,3351.2993541149895,3343.967028841893,3357.332629834461,3
matched,63,3986.6178067730016,3983.985419897037,3990.3413887654306,3
matched,80,4783.261346143625,4769.488474775422,4799.329675027359,3
matched,95,5327.221156892236,5312.320190014297,5341.367638055295,3
matched,112,5685.588463035296,5674.018459396126,5697.342374567336,3
matched,127,6093.866958448367,6079.297340955876,6113.753746720747,3
