-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 execute_context_0(0)_generation_63(63)         0.00%       0.000us         0.00%       0.000us       0.000us        1.450s        71.95%        1.450s      11.598ms           125  
ampere_bf16_s16816gemm_bf16_256x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us     617.155ms        30.63%     617.155ms     113.845us          5421  
                                               aten::mm         0.13%      10.685ms         0.20%      16.237ms      25.531us     438.569ms        21.76%     438.569ms     689.574us           636  
                        ## Call CompiledFxGraph None ##         0.00%       0.000us         0.00%       0.000us       0.000us     338.837ms        16.81%     338.837ms       3.940ms            86  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us     314.533ms        15.61%     314.533ms      43.241us          7274  
                               kernel_unified_attention         0.00%       0.000us         0.00%       0.000us       0.000us     253.698ms        12.59%     253.698ms      46.465us          5460  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us     182.980ms         9.08%     182.980ms     839.357us           218  
               execute_context_32(4095)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     175.346ms         8.70%     175.346ms     175.346ms             1  
             execute_context_31(3841)_generation_32(32)         0.00%       0.000us         0.00%       0.000us       0.000us     175.021ms         8.69%     175.021ms     175.021ms             1  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     146.215ms         7.26%     146.215ms      16.432us          8898  
ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us     114.572ms         5.69%     114.572ms     707.232us           162  
                                        reduce_segments         0.00%       0.000us         0.00%       0.000us       0.000us      44.653ms         2.22%      44.653ms       8.371us          5334  
                      triton_poi_fused_gelu_mul_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us      38.111ms         1.89%      38.111ms       6.980us          5460  
                    triton_red_fused_add_mul_rms_norm_4         0.00%       0.000us         0.00%       0.000us       0.000us      31.724ms         1.57%      31.724ms       5.810us          5460  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      31.284ms         1.55%      31.284ms       5.737us          5453  
                 execute_context_1(128)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      30.482ms         1.51%      30.482ms      30.482ms             1  
                        triton_red_fused_add_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us      30.324ms         1.50%      30.324ms       5.554us          5460  
