-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 execute_context_0(0)_generation_63(63)         0.00%       0.000us         0.00%       0.000us       0.000us        1.445s        71.82%        1.445s      11.559ms           125  
ampere_bf16_s16816gemm_bf16_256x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us     617.537ms        30.69%     617.537ms     113.916us          5421  
                                               aten::mm         0.13%      10.475ms         0.19%      15.775ms      24.803us     437.548ms        21.75%     437.548ms     687.968us           636  
                        ## Call CompiledFxGraph None ##         0.00%       0.000us         0.00%       0.000us       0.000us     337.536ms        16.78%     337.536ms       3.925ms            86  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us     315.614ms        15.69%     315.614ms      42.731us          7386  
                               kernel_unified_attention         0.00%       0.000us         0.00%       0.000us       0.000us     252.554ms        12.55%     252.554ms      46.255us          5460  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us     183.228ms         9.11%     183.228ms     836.656us           219  
               execute_context_32(4094)_generation_2(2)         0.00%       0.000us         0.00%       0.000us       0.000us     177.479ms         8.82%     177.479ms     177.479ms             1  
             execute_context_30(3714)_generation_33(33)         0.00%       0.000us         0.00%       0.000us       0.000us     171.785ms         8.54%     171.785ms     171.785ms             1  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     145.077ms         7.21%     145.077ms      16.434us          8828  
ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us     115.841ms         5.76%     115.841ms     715.067us           162  
                                        reduce_segments         0.00%       0.000us         0.00%       0.000us       0.000us      44.550ms         2.21%      44.550ms       8.352us          5334  
                      triton_poi_fused_gelu_mul_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us      37.882ms         1.88%      37.882ms       6.938us          5460  
                    triton_red_fused_add_mul_rms_norm_4         0.00%       0.000us         0.00%       0.000us       0.000us      31.595ms         1.57%      31.595ms       5.787us          5460  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      30.959ms         1.54%      30.959ms       5.722us          5411  
                        triton_red_fused_add_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us      30.209ms         1.50%      30.209ms       5.533us          5460  
                 execute_context_2(256)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      29.933ms         1.49%      29.933ms      29.933ms             1  
