capture,batch,mean_output_tokens_s,min_output_tokens_s,max_output_tokens_s,repeats
default,24,1322.50789232324,1321.0933165864983,1323.9141250408454,3
default,31,1587.132296790021,1585.6457279592323,1589.3431993309232,3
default,48,2137.436154641828,2134.239800597027,2139.6651820488796,3
default,63,2509.9121284936186,2508.705663641542,2510.6852564844144,3
default,80,2756.9692406874574,2751.9305130132007,2762.470293144234,3
default,95,2957.513530801043,2952.288296181747,2960.7518520088956,3
default,112,3193.1113891477153,3186.431037962127,3200.049124374463,3
default,127,3377.9734064708246,3375.208000836515,3382.667270075746,3
coarse,24,1306.3472445628734,1304.8749514142085,1307.3942773527199,3
coarse,31,1587.9084350082474,1585.4155557644856,1589.246657864777,3
coarse,48,2124.1021884714605,2122.721625357253,2125.6359258596003,3
coarse,63,2511.272852312629,2509.1511549474126,2513.5016025088835,3
coarse,80,2675.412627113919,2674.2059274498733,2676.7604492847136,3
coarse,95,2934.0412324068398,2932.19089341386,2935.424049105815,3
coarse,112,3174.8199222269604,3170.4283341540568,3180.36630533372,3
coarse,127,3379.578496328158,3375.356200339527,3385.953084891022,3
matched,24,1321.1707648885674,1318.602869234489,1323.2364088404363,3
matched,31,1590.0535020893772,1588.9532797151767,1591.798092233221,3
matched,48,2135.4031747988506,2132.7608589102197,2138.6165643148365,3
matched,63,2511.3271186909183,2508.717745154859,2515.0320320983196,3
matched,80,2754.923831695322,2750.578511483194,2760.347553193709,3
matched,95,2958.690166587383,2958.4600656398475,2959.0861398839797,3
matched,112,3190.4048150006565,3188.9960047224467,3191.561261412839,3
matched,127,3376.1991709484278,3371.0248374358766,3383.5588517139427,3
