-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 execute_context_0(0)_generation_63(63)         0.00%       0.000us         0.00%       0.000us       0.000us        2.481s        77.90%        2.481s      19.848ms           125  
ampere_bf16_s16816gemm_bf16_256x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us     846.272ms        26.57%     846.272ms     200.301us          4225  
                                               aten::mm         0.08%      10.828ms         0.15%      19.753ms      33.708us     721.156ms        22.64%     730.596ms       1.247ms           586  
fused_recurrent_gated_delta_rule_packed_decode_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     575.080ms        18.06%     575.080ms     188.675us          3048  
                        ## Call CompiledFxGraph None ##         0.00%       0.000us         0.00%       0.000us       0.000us     553.889ms        17.39%     553.889ms       5.595ms            99  
      ampere_s16816gemm_bf16_128x64_ldg8_stages_64x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us     338.171ms        10.62%     338.171ms      83.872us          4032  
               execute_context_32(4087)_generation_9(9)         0.00%       0.000us         0.00%       0.000us       0.000us     324.762ms        10.20%     324.762ms     324.762ms             1  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us     322.855ms        10.14%     322.855ms       1.121ms           288  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us     322.694ms        10.13%     322.694ms      79.560us          4056  
             execute_context_23(2825)_generation_40(40)         0.00%       0.000us         0.00%       0.000us       0.000us     243.525ms         7.65%     243.525ms     243.525ms             1  
ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us     197.016ms         6.19%     197.016ms       2.052ms            96  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     162.952ms         5.12%     162.952ms      39.551us          4120  
                execute_context_9(1152)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     104.676ms         3.29%     104.676ms     104.676ms             1  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      56.720ms         1.78%      56.720ms      56.270us          1008  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      50.829ms         1.60%      50.829ms       4.406us         11536  
                            ChunkGatedDeltaRuleFunction         0.01%     795.663us         0.53%      68.224ms     947.558us      41.733ms         1.31%      42.402ms     588.923us            72  
