-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 execute_context_0(0)_generation_63(63)         0.00%       0.000us         0.00%       0.000us       0.000us        2.480s        77.77%        2.480s      19.839ms           125  
ampere_bf16_s16816gemm_bf16_256x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us     847.387ms        26.58%     847.387ms     200.565us          4225  
                                               aten::mm         0.06%       7.532ms         0.21%      27.271ms      62.837us     710.793ms        22.29%     732.233ms       1.687ms           434  
fused_recurrent_gated_delta_rule_packed_decode_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     576.427ms        18.08%     576.427ms     189.117us          3048  
                        ## Call CompiledFxGraph None ##         0.00%       0.000us         0.00%       0.000us       0.000us     542.471ms        17.01%     542.471ms       8.219ms            66  
      ampere_s16816gemm_bf16_128x64_ldg8_stages_64x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us     337.951ms        10.60%     337.951ms      83.817us          4032  
               execute_context_32(4095)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     329.896ms        10.35%     329.896ms     329.896ms             1  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us     322.851ms        10.13%     322.851ms      79.598us          4056  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us     321.821ms        10.09%     321.821ms       1.490ms           216  
             execute_context_31(3841)_generation_32(32)         0.00%       0.000us         0.00%       0.000us       0.000us     320.654ms        10.06%     320.654ms     320.654ms             1  
ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us     195.419ms         6.13%     195.419ms       2.036ms            96  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     163.092ms         5.11%     163.092ms      39.585us          4120  
                 execute_context_1(128)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      64.032ms         2.01%      64.032ms      64.032ms             1  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      56.832ms         1.78%      56.832ms      56.381us          1008  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      50.330ms         1.58%      50.330ms       4.390us         11464  
                            ChunkGatedDeltaRuleFunction         0.01%     804.897us         0.71%      92.858ms       1.290ms      42.106ms         1.32%      42.807ms     594.538us            72  
