capture,batch,mean_output_tokens_s,min_output_tokens_s,max_output_tokens_s,repeats
default,24,1641.916522331274,1640.2211885855293,1643.7760426697084,3
default,31,1995.0942104518363,1992.1800705432022,2000.8509063525821,3
default,48,2721.5618363571157,2719.754045218823,2723.027861836432,3
default,63,3238.7059625763527,3236.0351818934364,3240.964536365837,3
default,80,3754.9583834647797,3747.9877349143294,3761.359988372187,3
default,95,4165.499942036721,4158.292604107074,4170.217155873089,3
default,112,4534.3809990017235,4529.3644989232225,4538.703977603215,3
default,127,4881.287255820504,4870.27631091194,4888.796932100895,3
coarse,24,1617.1859713038682,1615.109922040225,1620.4029013616025,3
coarse,31,2003.0096712969275,1996.8106214426873,2011.4303401169311,3
coarse,48,2658.470134669341,2655.7125520819245,2661.2251358729322,3
coarse,63,3241.2734992312717,3235.6810232269377,3249.5527405001535,3
coarse,80,3621.3398736364225,3616.271685945754,3629.990076440882,3
coarse,95,4076.3871265958414,4057.665503844739,4094.636539284012,3
coarse,112,4498.318941941369,4494.686888180229,4502.376716731855,3
coarse,127,4867.875204398162,4862.029153896842,4879.280348850879,3
matched,24,1641.2119164805008,1639.929287846099,1642.5069182968755,3
matched,31,1996.7268083324645,1992.2668184863626,2001.4379373760055,3
matched,48,2721.161600524837,2716.4725553971084,2723.6595607904005,3
matched,63,3235.417099065934,3231.762346383613,3238.858463923869,3
matched,80,3751.589765970555,3744.5828274901082,3758.008919828825,3
matched,95,4153.833453661984,4149.830591911591,4159.4444321234805,3
matched,112,4532.879415383856,4526.9197018910945,4537.653499527958,3
matched,127,4875.049190974675,4867.184239745091,4889.705447306944,3
