-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 execute_context_0(0)_generation_63(63)         0.00%       0.000us         0.00%       0.000us       0.000us        1.760s        71.35%        1.760s      14.082ms           125  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us        1.611s        65.32%        1.611s     222.193us          7252  
                                               aten::mm         0.06%       7.030ms         0.09%      10.760ms      28.169us     580.667ms        23.54%     580.667ms       1.520ms           382  
                        ## Call CompiledFxGraph None ##         0.00%       0.000us         0.00%       0.000us       0.000us     543.113ms        22.02%     543.113ms       6.243ms            87  
               execute_context_32(4091)_generation_5(5)         0.00%       0.000us         0.00%       0.000us       0.000us     270.977ms        10.98%     270.977ms     270.977ms             1  
             execute_context_27(3333)_generation_36(36)         0.00%       0.000us         0.00%       0.000us       0.000us     226.619ms         9.19%     226.619ms     226.619ms             1  
ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us     158.345ms         6.42%     158.345ms       2.828ms            56  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_rel...         0.00%       0.000us         0.00%       0.000us       0.000us     123.071ms         4.99%     123.071ms      34.609us          3556  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     119.495ms         4.84%     119.495ms      33.870us          3528  
ampere_bf16_s16816gemm_bf16_256x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us     117.660ms         4.77%     117.660ms     636.002us           185  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      93.983ms         3.81%      93.983ms      26.429us          3556  
                 execute_context_5(640)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      45.208ms         1.83%      45.208ms      45.208ms             1  
                      triton_poi_fused_mul_silu_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us      40.955ms         1.66%      40.955ms      11.251us          3640  
                                            aten::addmm         0.01%       1.474ms         0.02%       2.168ms      25.808us      39.386ms         1.60%      39.386ms     468.880us            84  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      29.544ms         1.20%      29.544ms       4.154us          7112  
                  triton_red_fused_fused_add_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us      20.746ms         0.84%      20.746ms       5.699us          3640  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us      20.351ms         0.82%      20.351ms       5.723us          3556  
