-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 execute_context_0(0)_generation_63(63)         0.00%       0.000us         0.00%       0.000us       0.000us        1.755s        71.53%        1.755s      14.043ms           125  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us        1.606s        65.42%        1.606s     222.253us          7224  
                                               aten::mm         0.05%       5.692ms         0.07%       8.474ms      28.437us     559.275ms        22.79%     559.275ms       1.877ms           298  
                        ## Call CompiledFxGraph None ##         0.00%       0.000us         0.00%       0.000us       0.000us     517.612ms        21.09%     517.612ms       8.924ms            58  
               execute_context_32(4094)_generation_2(2)         0.00%       0.000us         0.00%       0.000us       0.000us     265.573ms        10.82%     265.573ms     265.573ms             1  
             execute_context_30(3714)_generation_33(33)         0.00%       0.000us         0.00%       0.000us       0.000us     246.046ms        10.03%     246.046ms     246.046ms             1  
ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us     154.725ms         6.30%     154.725ms       2.763ms            56  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_rel...         0.00%       0.000us         0.00%       0.000us       0.000us     122.692ms         5.00%     122.692ms      34.503us          3556  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     118.035ms         4.81%     118.035ms      33.457us          3528  
ampere_bf16_s16816gemm_bf16_256x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us     117.366ms         4.78%     117.366ms     634.412us           185  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      93.927ms         3.83%      93.927ms      26.414us          3556  
                      triton_poi_fused_mul_silu_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us      40.895ms         1.67%      40.895ms      11.235us          3640  
                                            aten::addmm         0.01%       1.013ms         0.01%       1.482ms      26.466us      36.350ms         1.48%      36.350ms     649.106us            56  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      29.277ms         1.19%      29.277ms       4.116us          7112  
                 execute_context_2(256)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      24.216ms         0.99%      24.216ms      24.216ms             1  
                  triton_red_fused_fused_add_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us      20.953ms         0.85%      20.953ms       5.756us          3640  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us      20.118ms         0.82%      20.118ms       5.658us          3556  
